ID,latitude,longitude,State,Median.electricity.bill.by.State,Habitual.electricity.bill.by.State,O,C,E,A,N,Exploratory.Tasks,Challenges,Social.Competition,Social.Network,Unlockable.Content
5781,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.6,0.68,0.86,0.52,Yes,No,No,Yes,No
5782,19.38,-98.02, Tlaxcala,124,65-170 $ MXN,0.78,0.64,0.68,0.56,0.7,Yes,No,No,No,Yes
5783,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.76,0.8,0.92,0.6,No,Yes,Yes,Yes,No
5784,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.96,0.74,0.3,0.62,0.5,Yes,Yes,No,No,No
5785,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.96,0.78,0.74,0.74,0.38,Yes,Yes,Yes,Yes,No
5786,19.67,-101.53, Michoacan,90,55-150 $ MXN,0.8,0.66,0.38,0.66,0.56,Yes,No,No,No,No
5787,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.64,0.54,0.88,0.52,No,No,No,Yes,No
5788,16.75,-93.12, Chiapas,97.5,67.5-223.5 $ MXN,0.7,0.54,0.62,0.7,0.56,Yes,No,No,Yes,No
5789,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.54,0.52,0.72,0.68,Yes,No,No,Yes,No
5790,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.56,0.68,0.56,0.7,0.54,No,No,No,Yes,No
5791,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.48,0.68,0.72,0.56,Yes,No,No,Yes,No
5792,25.42,-101, Coahuila,220,127.5-325 $ MXN,0.88,0.74,0.7,0.92,0.7,Yes,Yes,Yes,Yes,Yes
5794,21.13,-101.67, Guanajuato,175,126.25-250 $ MXN,0.62,0.46,0.4,0.88,0.7,No,No,No,Yes,Yes
5795,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.76,0.72,0.7,0.82,0.62,Yes,Yes,Yes,Yes,No
5796,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.6,0.76,0.84,0.5,Yes,No,Yes,Yes,No
5797,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.74,0.56,0.68,0.44,No,Yes,No,No,No
5798,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.48,0.84,0.82,0.52,Yes,No,Yes,Yes,No
