ID,latitude,longitude,State,Median.electricity.bill.by.State,Habitual.electricity.bill.by.State,O,C,E,A,N,Exploratory.Tasks,Challenges,Social.Competition,Social.Network,Unlockable.Content
1474,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.64,0.52,0.66,0.68,Yes,No,No,No,No
1475,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.68,0.64,0.62,1,0.36,No,No,No,Yes,No
1476,19.48,-99.24, Estado de Mexico,143,63.5-249.5 $ MXN,0.78,0.56,0.7,0.72,0.42,Yes,No,Yes,Yes,No
1477,20.17,-98.85, Hidalgo,148,90-200 $ MXN,0.84,0.6,0.5,0.68,0.28,Yes,No,No,No,No
1478,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.72,0.34,0.74,0.62,No,Yes,No,Yes,No
1480,19.38,-98.02, Tlaxcala,124,65-170 $ MXN,0.86,0.7,0.7,0.74,0.72,Yes,Yes,Yes,Yes,Yes
1481,20.67,-103.33, Jalisco,143.5,96-200 $ MXN,0.88,0.82,0.76,0.8,0.58,Yes,Yes,Yes,Yes,No
1483,19.4,-99.15, Ciudad de Mexico,150,92.5-215 $ MXN,0.96,0.68,0.78,0.72,0.42,Yes,No,Yes,Yes,No
1484,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.9,0.68,0.28,0.52,0.8,Yes,No,No,No,Yes
1485,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,1,0.74,0.8,0.62,0.66,Yes,Yes,Yes,No,No
1486,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.76,0.4,0.48,0.8,Yes,Yes,No,No,Yes
1487,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.82,0.64,0.62,0.92,0.6,Yes,No,No,Yes,No
1488,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.78,0.76,0.74,0.58,No,Yes,Yes,Yes,No
1489,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.92,0.6,0.68,0.68,0.56,Yes,No,No,No,No
1490,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.46,0.56,0.86,0.56,Yes,No,No,Yes,No
1491,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.68,0.48,0.6,0.96,0.48,No,No,No,Yes,No
1492,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.52,0.46,0.56,0.5,0.76,No,No,No,No,Yes
1493,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.5,0.7,0.72,0.88,Yes,No,Yes,Yes,Yes
1494,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.62,0.56,0.62,0.74,Yes,No,No,No,Yes
1495,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.74,0.62,0.72,0.68,0.66,Yes,No,Yes,No,No
1496,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.56,0.86,0.82,0.78,Yes,No,Yes,Yes,Yes
1497,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.64,0.68,0.74,0.78,Yes,No,No,Yes,Yes
1498,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.96,0.76,0.54,0.92,0.84,Yes,Yes,No,Yes,Yes
1499,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.6,0.7,0.78,0.6,No,No,Yes,Yes,No
1500,20.05,-99.35, Hidalgo,148,90-200 $ MXN,0.7,0.6,0.62,0.6,0.76,Yes,No,No,No,Yes
1501,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.62,0.36,0.54,0.72,0.8,No,No,No,Yes,Yes
1502,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.62,0.62,0.72,0.58,Yes,No,No,Yes,No
1503,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.56,0.48,0.78,0.52,Yes,No,No,Yes,No
1504,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.6,0.78,0.74,0.78,Yes,No,Yes,Yes,Yes
1505,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.5,0.62,0.52,0.76,Yes,No,No,No,Yes
1506,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,1,0.72,0.72,0.74,0.34,Yes,Yes,Yes,Yes,No
1508,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.46,0.32,0.8,0.62,Yes,No,No,Yes,No
1509,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.5,0.4,0.82,0.7,Yes,No,No,Yes,Yes
1510,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.78,0.4,0.4,0.78,0.58,Yes,No,No,Yes,No
1511,19.7,-101.12, Michoacan,90,55-150 $ MXN,0.84,0.52,0.52,0.68,0.66,Yes,No,No,No,No
1512,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.56,0.72,0.64,0.88,Yes,No,Yes,No,Yes
1513,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.72,0.32,0.56,0.46,Yes,Yes,No,No,No
1514,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.66,0.6,0.94,0.68,No,No,No,Yes,No
1515,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.96,0.7,0.4,0.88,0.9,Yes,Yes,No,Yes,Yes
1516,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.58,0.46,0.56,0.52,Yes,No,No,No,No
1517,25.55,-103.43, Coahuila,220,127.5-325 $ MXN,0.9,0.64,0.64,0.7,0.68,Yes,No,No,Yes,No
1518,25.67,-100.4, Nuevo Leon,284,150-323 $ MXN,0.7,0.56,0.48,0.62,0.52,Yes,No,No,No,No
1519,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.58,0.36,0.74,0.92,Yes,No,No,Yes,Yes
1520,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.56,0.52,0.6,0.48,0.76,No,No,No,No,Yes
1521,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.6,0.56,0.58,0.7,0.62,No,No,No,Yes,No
1523,20.61,-100.35, Queretaro,180,110-260 $ MXN,0.64,0.6,0.42,0.74,0.6,No,No,No,Yes,No
1524,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.7,0.74,0.72,0.68,0.48,Yes,Yes,Yes,No,No
1525,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.64,0.76,0.7,0.56,Yes,No,Yes,Yes,No
1526,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.48,0.56,0.72,0.92,Yes,No,No,Yes,Yes
1527,32.53,-117.02, Baja California,267,197.5-400 $ MXN,1,0.62,0.78,0.84,0.46,Yes,No,Yes,Yes,No
1528,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.5,0.76,0.74,0.7,No,No,Yes,Yes,Yes
1529,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.54,0.66,0.62,0.64,Yes,No,No,No,No
1531,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.8,0.48,0.98,0.74,Yes,Yes,No,Yes,Yes
1532,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.46,0.48,0.92,0.48,Yes,No,No,Yes,No
1533,19.53,-96.92, Veracruz,220,139-285 $ MXN,0.82,0.42,0.66,0.88,0.58,Yes,No,No,Yes,No
1534,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.64,0.44,0.44,0.64,0.76,No,No,No,No,Yes
1535,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.56,0.66,0.84,0.52,Yes,No,No,Yes,No
1536,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.72,0.64,0.76,0.86,0.5,Yes,No,Yes,Yes,No
1537,20.17,-98.85, Hidalgo,148,90-200 $ MXN,0.82,0.56,0.56,0.76,0.7,Yes,No,No,Yes,Yes
1538,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.62,0.68,0.7,0.84,0.8,No,No,Yes,Yes,Yes
1539,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.6,0.56,0.8,0.9,Yes,No,No,Yes,Yes
1540,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.86,0.88,0.68,0.92,0.36,Yes,Yes,No,Yes,No
1541,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.62,0.58,0.7,0.5,Yes,No,No,Yes,No
1542,19.2,-96.13, Veracruz,220,139-285 $ MXN,0.8,0.76,0.6,0.72,0.56,Yes,Yes,No,Yes,No
1543,20.93,-89.57, Yucatan,233,129.5-491.25 $ MXN,0.8,0.66,0.66,0.68,0.6,Yes,No,No,No,No
1544,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.62,0.46,0.78,0.7,No,No,No,Yes,Yes
1545,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.74,0.66,0.76,0.44,Yes,Yes,No,Yes,No
1546,20.67,-103.33, Jalisco,143.5,96-200 $ MXN,0.84,1,0.32,0.7,0.92,Yes,Yes,No,Yes,Yes
1547,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.6,0.8,0.78,0.7,Yes,No,Yes,Yes,Yes
1548,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.6,0.8,0.5,0.78,0.64,No,Yes,No,Yes,No
1549,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.62,0.44,0.54,0.76,Yes,No,No,No,Yes
1550,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.64,0.64,0.72,0.64,Yes,No,No,Yes,No
1551,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.78,0.76,0.62,0.8,0.68,Yes,Yes,No,Yes,No
1552,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.58,0.56,0.4,0.62,0.9,No,No,No,No,Yes
1553,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.74,0.5,0.76,0.62,Yes,Yes,No,Yes,No
1554,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.56,0.64,0.56,0.82,0.4,No,No,No,Yes,No
1555,32.53,-117.02, Baja California,267,197.5-400 $ MXN,0.92,0.76,0.6,0.82,0.62,Yes,Yes,No,Yes,No
1556,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.48,0.64,0.62,0.82,Yes,No,No,No,Yes
1557,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.76,0.56,0.68,0.56,Yes,Yes,No,No,No
1558,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.54,0.68,0.78,0.56,Yes,No,No,Yes,No
1559,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.62,0.74,0.82,0.4,Yes,No,Yes,Yes,No
1560,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.52,0.36,0.6,0.62,Yes,No,No,No,No
1561,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.48,0.6,0.52,0.58,Yes,No,No,No,No
1562,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.64,0.52,0.54,0.7,0.5,No,No,No,Yes,No
1563,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.72,0.64,0.76,0.78,Yes,Yes,No,Yes,Yes
1564,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.52,0.56,0.54,0.62,0.7,No,No,No,No,Yes
1565,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.56,0.72,0.9,0.62,Yes,No,Yes,Yes,No
1566,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.98,0.6,0.5,0.52,0.74,Yes,No,No,No,Yes
1567,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.66,0.8,0.8,0.52,Yes,No,Yes,Yes,No
1568,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.56,0.46,0.74,0.76,Yes,No,No,Yes,Yes
1569,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.86,0.58,0.8,0.62,Yes,Yes,No,Yes,No
1570,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.62,0.82,0.74,0.46,Yes,No,Yes,Yes,No
1571,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.6,0.5,0.68,0.94,Yes,No,No,No,Yes
1572,22.88,-102.62, Zacatecas,103.5,59.25-145 $ MXN,0.88,0.8,0.68,0.92,0.96,Yes,Yes,No,Yes,Yes
1573,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.68,0.64,0.86,0.56,Yes,No,No,Yes,No
1574,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.58,0.66,0.72,0.76,Yes,No,No,Yes,Yes
1575,20.67,-103.33, Jalisco,143.5,96-200 $ MXN,0.86,0.7,0.5,0.74,0.64,Yes,Yes,No,Yes,No
1576,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.68,0.62,0.76,0.5,Yes,No,No,Yes,No
1577,19.53,-99.22, Estado de Mexico,143,63.5-249.5 $ MXN,0.88,0.6,0.52,0.82,0.7,Yes,No,No,Yes,Yes
1579,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.72,0.78,0.76,0.78,0.7,Yes,Yes,Yes,Yes,Yes
1580,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.54,0.54,0.7,0.74,Yes,No,No,Yes,Yes
1581,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,1,0.58,0.66,0.62,0.86,Yes,No,No,No,Yes
1582,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.68,0.56,0.78,0.88,Yes,No,No,Yes,Yes
1583,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.52,0.44,0.54,0.74,0.8,No,No,No,Yes,Yes
1584,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.64,0.68,0.94,0.68,Yes,No,No,Yes,No
1585,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.64,0.9,0.84,0.82,Yes,No,Yes,Yes,Yes
1586,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.64,0.68,0.76,0.84,0.58,No,No,Yes,Yes,No
1587,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.96,0.42,0.7,0.8,0.84,Yes,No,Yes,Yes,Yes
1588,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.58,0.64,0.56,0.46,0.74,No,No,No,No,Yes
1589,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.54,0.66,0.88,0.54,Yes,No,No,Yes,No
1590,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.52,0.44,0.9,0.8,Yes,No,No,Yes,Yes
1591,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.64,0.62,0.74,0.68,No,No,No,Yes,No
1592,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.58,0.78,0.84,0.76,Yes,No,Yes,Yes,Yes
1593,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.66,0.66,0.84,0.5,Yes,No,No,Yes,No
1594,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.8,0.72,0.64,0.64,0.6,Yes,Yes,No,No,No
1595,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.48,0.32,0.76,0.76,Yes,No,No,Yes,Yes
1596,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.92,0.66,0.62,0.68,0.68,Yes,No,No,No,No
1597,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.7,0.7,0.78,0.52,Yes,Yes,Yes,Yes,No
1598,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.64,0.52,0.56,0.74,Yes,No,No,No,Yes
1599,20.55,-100.78, Guanajuato,175,126.25-250 $ MXN,0.88,0.66,0.36,0.5,0.9,Yes,No,No,No,Yes
1600,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.62,0.38,0.48,0.74,Yes,No,No,No,Yes
1601,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.64,0.62,0.68,0.74,Yes,No,No,No,Yes
1602,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.9,0.64,0.68,0.92,0.64,Yes,No,No,Yes,No
1603,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.9,0.72,0.88,0.78,0.76,Yes,Yes,Yes,Yes,Yes
1605,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.64,0.5,0.52,0.74,0.92,No,No,No,Yes,Yes
1606,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.56,0.6,0.88,0.84,Yes,No,No,Yes,Yes
1607,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.6,0.36,0.78,0.54,Yes,No,No,Yes,No
1608,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.96,0.66,0.76,0.62,0.96,Yes,No,Yes,No,Yes
1609,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.54,0.52,0.74,0.62,Yes,No,No,Yes,No
1610,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.42,0.68,0.6,0.74,Yes,No,No,No,Yes
1611,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.36,0.28,0.28,0.64,0.92,No,No,No,No,Yes
1612,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.5,0.54,0.5,0.78,Yes,No,No,No,Yes
1613,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.74,0.5,0.76,0.7,No,Yes,No,Yes,Yes
1614,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.46,0.5,0.7,0.7,Yes,No,No,Yes,Yes
1615,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.68,0.38,0.7,0.72,Yes,No,No,Yes,Yes
1616,20.67,-103.33, Jalisco,143.5,96-200 $ MXN,0.7,0.7,0.36,0.78,0.62,Yes,Yes,No,Yes,No
1617,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.58,0.7,0.88,0.82,No,No,Yes,Yes,Yes
1618,19.2,-96.13, Veracruz,220,139-285 $ MXN,0.6,0.74,0.52,0.62,0.76,No,Yes,No,No,Yes
1619,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.96,0.82,0.56,0.4,0.6,Yes,Yes,No,No,No
1620,21.13,-101.67, Guanajuato,175,126.25-250 $ MXN,0.76,0.66,0.66,0.72,0.24,Yes,No,No,Yes,No
1621,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.56,0.44,0.4,0.62,0.8,No,No,No,No,Yes
1622,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.6,0.36,0.2,0.68,0.92,No,No,No,No,Yes
1623,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.7,0.66,0.92,0.56,Yes,Yes,No,Yes,No
1624,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.36,0.86,0.88,0.54,Yes,No,Yes,Yes,No
1625,31.73,-106.48, Chihuahua,215,159-331.5 $ MXN,0.68,0.56,0.34,0.66,0.86,No,No,No,No,Yes
1626,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.82,0.36,0.56,0.68,Yes,Yes,No,No,No
1627,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.82,0.5,0.36,0.72,0.54,Yes,No,No,Yes,No
1628,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,1,0.58,0.34,0.84,0.78,Yes,No,No,Yes,Yes
1629,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.66,0.5,0.78,0.62,No,No,No,Yes,No
1630,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.76,0.64,0.5,0.54,0.88,Yes,No,No,No,Yes
1631,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.66,0.68,0.78,0.54,Yes,No,No,Yes,No
1632,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.62,0.42,0.84,0.74,Yes,No,No,Yes,Yes
1633,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.58,0.54,0.68,0.68,Yes,No,No,No,No
1634,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.52,0.6,0.72,0.6,Yes,No,No,Yes,No
1635,20.6,-100.38, Queretaro,180,110-260 $ MXN,0.52,0.42,0.74,0.56,0.48,No,No,Yes,No,No
1636,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.7,0.44,0.78,0.58,Yes,Yes,No,Yes,No
1637,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.66,0.5,0.66,0.6,Yes,No,No,No,No
1638,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.52,0.5,0.7,0.82,Yes,No,No,Yes,Yes
1640,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.48,0.64,0.86,0.76,Yes,No,No,Yes,Yes
1641,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.7,0.6,0.7,0.6,Yes,Yes,No,Yes,No
1642,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.64,0.72,0.46,0.64,0.58,No,Yes,No,No,No
1643,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.32,0.9,0.62,0.92,Yes,No,Yes,No,Yes
1644,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.76,0.66,0.66,0.72,No,Yes,No,No,Yes
1645,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.58,0.36,0.66,0.76,Yes,No,No,No,Yes
1646,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.7,0.58,0.48,0.58,0.58,Yes,No,No,No,No
1647,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.52,0.7,0.54,0.78,Yes,No,Yes,No,Yes
1648,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.6,0.5,0.6,0.68,Yes,No,No,No,No
1649,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.78,0.58,0.66,0.7,0.44,Yes,No,No,Yes,No
1650,20.67,-103.33, Jalisco,143.5,96-200 $ MXN,0.72,0.46,0.56,0.52,0.58,Yes,No,No,No,No
1651,22.88,-102.62, Zacatecas,103.5,59.25-145 $ MXN,0.92,0.72,0.38,0.64,0.86,Yes,Yes,No,No,Yes
1652,20.67,-103.33, Jalisco,143.5,96-200 $ MXN,0.82,0.66,0.6,0.6,0.8,Yes,No,No,No,Yes
1653,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.88,0.46,0.62,0.7,0.48,Yes,No,No,Yes,No
1654,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.72,0.6,0.62,0.7,Yes,Yes,No,No,Yes
1655,19.48,-99.1, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.68,0.52,0.52,0.58,Yes,No,No,No,No
1656,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.68,0.46,0.68,0.82,Yes,No,No,No,Yes
1657,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.84,0.66,0.58,0.64,0.68,Yes,No,No,No,No
1658,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.54,0.52,0.64,0.66,0.7,No,No,No,No,Yes
1659,19.7,-101.12, Michoacan,90,55-150 $ MXN,0.92,0.84,0.48,0.6,0.44,Yes,Yes,No,No,No
1660,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.44,0.46,0.74,0.82,Yes,No,No,Yes,Yes
1661,19.7,-101.12, Michoacan,90,55-150 $ MXN,0.6,0.68,0.5,0.76,0.82,No,No,No,Yes,Yes
1662,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.64,0.52,0.76,0.88,Yes,No,No,Yes,Yes
1663,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.58,0.48,0.4,0.8,0.5,No,No,No,Yes,No
1664,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.86,0.52,0.42,0.68,0.72,Yes,No,No,No,Yes
1665,19.48,-99.24, Estado de Mexico,143,63.5-249.5 $ MXN,0.96,0.58,0.24,0.64,0.68,Yes,No,No,No,No
1666,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.62,0.46,0.8,0.8,0.62,No,No,Yes,Yes,No
1668,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.64,0.58,0.46,0.56,Yes,No,No,No,No
1669,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.58,0.44,0.72,0.6,Yes,No,No,Yes,No
1670,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.48,0.78,0.8,0.62,Yes,No,Yes,Yes,No
1671,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.66,0.58,0.6,0.7,Yes,No,No,No,Yes
1673,19.52,-98.88, Estado de Mexico,143,63.5-249.5 $ MXN,0.74,0.5,0.66,0.66,0.58,Yes,No,No,No,No
1674,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.52,0.52,0.78,0.74,Yes,No,No,Yes,Yes
1675,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.78,0.64,0.48,0.88,0.88,Yes,No,No,Yes,Yes
1676,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.7,0.66,0.54,0.74,0.52,Yes,No,No,Yes,No
1677,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.64,0.44,0.68,0.66,Yes,No,No,No,No
1678,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.62,0.62,0.52,0.66,Yes,No,No,No,No
1679,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.96,0.64,0.6,0.56,0.88,Yes,No,No,No,Yes
1680,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.6,0.46,0.68,0.78,Yes,No,No,No,Yes
1681,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.74,0.7,0.48,0.72,0.68,Yes,Yes,No,Yes,No
